Zeit;Kanal A;Kanal B
(ms);(mV);(mV)

-24,32458240;-0,34940940;-91,05868000
-24,31958240;0,17470470;-91,05868000
-24,31458240;0,00000000;-91,05868000
-24,30958240;0,00000000;-91,05868000
-24,30458240;1,04822800;-95,39554000
-24,29958240;-0,87352360;-91,05868000
-24,29458240;0,00000000;-91,05868000
-24,28958240;0,52411410;-91,05868000
-24,28458240;0,17470470;-86,72182000
-24,27958240;0,87352360;-86,72182000
-24,27458240;0,17470470;-86,72182000
-24,26958240;0,17470470;-86,72182000
-24,26458240;0,69881890;-86,72182000
-24,25958240;0,17470470;-86,72182000
-24,25458240;0,52411410;-86,72182000
-24,24958240;0,17470470;-82,38496000
-24,24458240;-0,17470470;-82,38496000
-24,23958240;0,00000000;-82,38496000
-24,23458240;1,04822800;-82,38496000
-24,22958240;1,04822800;-82,38496000
-24,22458240;0,52411410;-82,38496000
-24,21958240;1,22293300;-78,04810000
-24,21458241;0,52411410;-82,38496000
-24,20958241;0,87352360;-73,71124000
-24,20458241;0,17470470;-78,04810000
-24,19958241;0,87352360;-78,04810000
-24,19458241;1,04822800;-78,04810000
-24,18958241;0,00000000;-78,04810000
-24,18458241;1,04822800;-73,71124000
-24,17958241;0,87352360;-78,04810000
-24,17458241;0,17470470;-73,71124000
-24,16958241;-0,34940940;-73,71124000
-24,16458241;-0,52411410;-73,71124000
-24,15958241;0,17470470;-73,71124000
-24,15458241;0,17470470;-73,71124000
-24,14958241;-0,17470470;-73,71124000
-24,14458241;0,17470470;-78,04810000
-24,13958241;-0,34940940;-69,37438000
-24,13458241;0,17470470;-73,71124000
-24,12958241;0,17470470;-69,37438000
-24,12458241;0,00000000;-73,71124000
-24,11958241;0,34940940;-69,37438000
-24,11458241;-0,52411410;-69,37438000
-24,10958241;0,17470470;-69,37438000
-24,10458241;-0,52411410;-69,37438000
-24,09958241;-0,87352360;-65,03752000
-24,09458241;0,17470470;-69,37438000
-24,08958241;-0,69881890;-65,03752000
-24,08458241;0,00000000;-69,37438000
-24,07958241;-0,34940940;-65,03752000
-24,07458241;-0,69881890;-65,03752000
-24,06958241;-0,52411410;-65,03752000
-24,06458241;-1,04822800;-65,03752000
-24,05958241;-0,69881890;-65,03752000
-24,05458241;-0,34940940;-60,70066000
-24,04958241;0,00000000;-60,70066000
-24,04458241;-0,17470470;-65,03752000
-24,03958241;-0,69881890;-60,70066000
-24,03458241;-0,34940940;-60,70066000
-24,02958241;0,00000000;-60,70066000
-24,02458241;-0,69881890;-56,36380000
-24,01958241;0,17470470;-60,70066000
-24,01458241;0,00000000;-56,36380000
-24,00958241;0,00000000;-60,70066000
-24,00458241;-0,34940940;-56,36380000
-23,99958241;0,52411410;-56,36380000
-23,99458241;0,00000000;-56,36380000
-23,98958241;-1,04822800;-56,36380000
-23,98458241;-0,69881890;-56,36380000
-23,97958241;-0,52411410;-56,36380000
-23,97458241;0,52411410;-52,02694000
-23,96958241;-0,17470470;-56,36380000
-23,96458241;0,00000000;-52,02694000
-23,95958241;-0,34940940;-52,02694000
-23,95458241;-0,17470470;-47,69008000
-23,94958241;-0,69881890;-52,02694000
-23,94458241;-0,34940940;-47,69008000
-23,93958241;0,17470470;-47,69008000
-23,93458241;-0,17470470;-47,69008000
-23,92958241;-0,34940940;-47,69008000
-23,92458241;-0,52411410;-47,69008000
-23,91958241;-0,52411410;-47,69008000
-23,91458241;-0,69881890;-43,35322000
-23,90958241;0,00000000;-43,35322000
-23,90458241;-0,34940940;-47,69008000
-23,89958241;-0,52411410;-39,01636000
-23,89458241;-0,34940940;-43,35322000
-23,88958241;-0,69881890;-43,35322000
-23,88458241;0,00000000;-43,35322000
-23,87958241;0,17470470;-43,35322000
-23,87458241;-0,52411410;-39,01636000
-23,86958241;0,00000000;-39,01636000
-23,86458241;0,00000000;-39,01636000
-23,85958241;0,34940940;-39,01636000
-23,85458241;-1,22293300;-39,01636000
-23,84958241;-0,52411410;-39,01636000
-23,84458241;-0,34940940;-39,01636000
-23,83958241;0,17470470;-34,67950000
-23,83458241;-0,17470470;-39,01636000
-23,82958241;-1,04822800;-34,67950000
-23,82458241;0,34940940;-39,01636000
-23,81958242;0,17470470;-34,67950000
-23,81458242;0,17470470;-34,67950000
-23,80958242;0,00000000;-34,67950000
-23,80458242;-0,69881890;-30,34264000
-23,79958242;0,00000000;-34,67950000
-23,79458242;0,17470470;-34,67950000
-23,78958242;0,34940940;-30,34264000
-23,78458242;0,00000000;-30,34264000
-23,77958242;-0,69881890;-30,34264000
-23,77458242;-0,69881890;-30,34264000
-23,76958242;-0,69881890;-30,34264000
-23,76458242;0,00000000;-26,00578000
-23,75958242;0,00000000;-26,00578000
-23,75458242;-0,87352360;-26,00578000
-23,74958242;-1,22293300;-21,66892000
-23,74458242;-0,52411410;-26,00578000
-23,73958242;-1,22293300;-26,00578000
-23,73458242;-0,17470470;-21,66892000
-23,72958242;-0,52411410;-21,66892000
-23,72458242;-0,87352360;-21,66892000
-23,71958242;-1,39763800;-21,66892000
-23,71458242;-0,87352360;-21,66892000
-23,70958242;-0,87352360;-21,66892000
-23,70458242;-0,34940940;-21,66892000
-23,69958242;-0,69881890;-17,33206000
-23,69458242;-1,57234300;-21,66892000
-23,68958242;-0,34940940;-17,33206000
-23,68458242;-0,34940940;-17,33206000
-23,67958242;-1,04822800;-17,33206000
-23,67458242;0,00000000;-17,33206000
-23,66958242;-1,74704700;-12,99520000
-23,66458242;-1,04822800;-17,33206000
-23,65958242;-1,22293300;-21,66892000
-23,65458242;-0,69881890;-12,99520000
-23,64958242;-0,69881890;-17,33206000
-23,64458242;-1,04822800;-12,99520000
-23,63958242;-1,57234300;-8,65834000
-23,63458242;-0,87352360;-17,33206000
-23,62958242;-0,52411410;-12,99520000
-23,62458242;-0,17470470;-12,99520000
-23,61958242;-1,04822800;-8,65834000
-23,61458242;0,00000000;-12,99520000
-23,60958242;-1,04822800;-8,65834000
-23,60458242;0,00000000;-8,65834000
-23,59958242;0,00000000;-8,65834000
-23,59458242;-1,04822800;-4,32148100
-23,58958242;-0,69881890;-4,32148100
-23,58458242;-1,22293300;-8,65834000
-23,57958242;-0,34940940;-4,32148100
-23,57458242;0,00000000;-4,32148100
-23,56958242;-1,39763800;-4,32148100
-23,56458242;0,00000000;-4,32148100
-23,55958242;-0,87352360;0,00000000
-23,55458242;-0,34940940;-4,32148100
-23,54958242;0,17470470;0,00000000
-23,54458242;0,34940940;-4,32148100
-23,53958242;-0,34940940;0,00000000
-23,53458242;-0,17470470;0,00000000
-23,52958242;-0,52411410;0,00000000
-23,52458242;0,17470470;-4,32148100
-23,51958242;0,17470470;4,32148100
-23,51458242;0,00000000;0,00000000
-23,50958242;-1,04822800;4,32148100
-23,50458242;-0,69881890;4,32148100
-23,49958242;-1,04822800;4,32148100
-23,49458242;-0,34940940;0,00000000
-23,48958242;-0,52411410;4,32148100
-23,48458242;0,00000000;4,32148100
-23,47958242;-0,69881890;8,65834000
-23,47458242;-1,22293300;4,32148100
-23,46958242;-0,87352360;8,65834000
-23,46458242;-0,69881890;4,32148100
-23,45958242;-1,04822800;8,65834000
-23,45458242;-1,39763800;8,65834000
-23,44958242;-1,04822800;8,65834000
-23,44458242;-0,69881890;12,99520000
-23,43958242;0,17470470;12,99520000
-23,43458242;-0,34940940;12,99520000
-23,42958242;0,00000000;12,99520000
